,,,-8,-7,-5,-5,-5,-8,-6,-6,-5,-5,-7,-5,-5,-6,-6,-8,-5,-6,-6,-5,-5,-5,-8,-5,-5,-8,-8,-8,-6,-5,-6,-5,-5
,,,Anaheim,Arizona,Atlanta,Baltimore,Boston,California,Chicago,Chicago,Cincinnati,Cleveland,Colorado,Detroit,Florida,Houston,Kansas City,Los Angeles,Miami,Milwaukee,Minnesota,Montreal,New York,New York,Oakland,Philadelphia,Pittsburgh,San Diego,Seattle,San Francisco,St.Louis,Tampa Bay,Texas,Toronto,Washington
,,,ANA,ARI,ATL,BAL,BOS,CAL,CHA,CHN,CIN,CLE,COL,DET,FLO,HOU,KCA,LAN,MIA,MIL,MIN,MON,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
-8,Anaheim,ANA,0,1,3,3,3,0,2,2,3,3,1,3,3,2,2,0,3,2,2,3,3,3,0,3,3,0,0,0,2,3,2,3,3
-7,Arizona,ARI,-1,0,2,2,2,-1,1,1,2,2,0,2,2,1,1,-1,2,1,1,2,2,2,-1,2,2,-1,-1,-1,1,2,1,2,2
-5,Atlanta,ATL,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,Baltimore,BAL,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,Boston,BOS,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-8,California,CAL,0,1,3,3,3,0,2,2,3,3,1,3,3,2,2,0,3,2,2,3,3,3,0,3,3,0,0,0,2,3,2,3,3
-6,Chicago,CHA,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-6,Chicago,CHN,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-5,Cincinnati,CIN,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,Cleveland,CLE,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-7,Colorado,COL,-1,0,2,2,2,-1,1,1,2,2,0,2,2,1,1,-1,2,1,1,2,2,2,-1,2,2,-1,-1,-1,1,2,1,2,2
-5,Detroit,DET,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,Florida,FLO,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-6,Houston,HOU,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-6,Kansas City,KCA,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-8,Los Angeles,LAN,0,1,3,3,3,0,2,2,3,3,1,3,3,2,2,0,3,2,2,3,3,3,0,3,3,0,0,0,2,3,2,3,3
-5,Miami,MIA,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-6,Milwaukee,MIL,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-6,Minnesota,MIN,-2,-1,1,1,1,-2,0,0,1,1,-1,1,1,0,0,-2,1,0,0,1,1,1,-2,1,1,-2,-2,-2,0,1,0,1,1
-5,Montreal,MON,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,New York,NYA,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,New York,NYN,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-8,Oakland,OAK,0,1,3,3,3,0,2,2,3,3,1,3,3,2,2,0,3,2,2,3,3,3,0,3,3,0,0,0,2,3,2,3,3
-5,Philadelphia,PHI,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-5,Pittsburgh,PIT,-3,-2,0,0,0,-3,-1,-1,0,0,-2,0,0,-1,-1,-3,0,-1,-1,0,0,0,-3,0,0,-3,-3,-3,-1,0,-1,0,0
-8,San Diego,SDN,0,1,3,3,3,0,2,2,3,3,1,3,3,2,2,0,3,2,2,3,3,3,0,3,3,0,0,0,2,3,2,3,3
